Frequency (Hz)	Level (dB)
43.066406	-66.009537
86.132812	-63.060154
129.199219	-67.430862
172.265625	-72.340370
215.332031	-72.247536
258.398438	-70.309662
301.464844	-64.215096
344.531250	-56.777500
387.597656	-45.613907
430.664062	-20.461454
473.730469	-16.351194
516.796875	-24.386053
559.863281	-49.905087
602.929688	-54.982624
645.996094	-61.040741
689.062500	-60.499638
732.128906	-59.702759
775.195312	-57.165024
818.261719	-50.057697
861.328125	-35.362251
904.394531	-16.368073
947.460938	-13.942102
990.527344	-24.044617
1033.593750	-44.699772
1076.660156	-52.940563
1119.726562	-54.441952
1162.792969	-53.484299
1205.859375	-55.089325
1248.925781	-54.945560
1291.992188	-48.434769
1335.058594	-32.876595
1378.125000	-18.070204
1421.191406	-17.436325
1464.257812	-30.093494
1507.324219	-46.648872
1550.390625	-53.950062
1593.457031	-57.017139
1636.523438	-58.220970
1679.589844	-58.163105
1722.656250	-56.702938
1765.722656	-48.416531
1808.789062	-31.414900
1851.855469	-19.029587
1894.921875	-19.774336
1937.988281	-34.619274
1981.054688	-50.116879
2024.121094	-55.376247
2067.187500	-57.517048
2110.253906	-58.385426
2153.320312	-58.945019
2196.386719	-59.258198
2239.453125	-53.343502
2282.519531	-32.647537
2325.585938	-23.181194
2368.652344	-25.685593
2411.718750	-43.398838
2454.785156	-55.993687
2497.851562	-60.043945
2540.917969	-61.295826
2583.984375	-62.781296
2627.050781	-64.174789
2670.117188	-62.072403
2713.183594	-57.693645
2756.250000	-34.711231
2799.316406	-26.946337
2842.382812	-30.975964
2885.449219	-51.954487
2928.515625	-59.668819
2971.582031	-64.225189
3014.648438	-66.388496
3057.714844	-67.744591
3100.781250	-66.247200
3143.847656	-65.170448
3186.914062	-57.041225
3229.980469	-34.886314
3273.046875	-30.033594
3316.113281	-36.501137
3359.179688	-58.657532
3402.246094	-63.133732
3445.312500	-66.869629
3488.378906	-65.514526
3531.445312	-66.399734
3574.511719	-67.453865
3617.578125	-64.466545
3660.644531	-57.304161
3703.710938	-38.259636
3746.777344	-34.144665
3789.843750	-41.430580
3832.910156	-63.750973
3875.976562	-68.383270
3919.042969	-70.419914
3962.109375	-70.661026
4005.175781	-69.661453
4048.242188	-69.017387
4091.308594	-65.881180
4134.375000	-54.187656
4177.441406	-40.367413
4220.507812	-39.240269
4263.574219	-49.848743
4306.640625	-65.701508
4349.707031	-70.484550
4392.773438	-70.495453
4435.839844	-69.346611
4478.906250	-68.223495
4521.972656	-67.588379
4565.039062	-67.754013
4608.105469	-53.699768
4651.171875	-43.214619
4694.238281	-43.992882
4737.304688	-56.128792
4780.371094	-67.833870
4823.437500	-72.424324
4866.503906	-72.448807
4909.570312	-70.130386
4952.636719	-69.697601
4995.703125	-68.513901
5038.769531	-64.280083
5081.835938	-47.543919
5124.902344	-39.608253
5167.968750	-42.235023
5211.035156	-57.300117
5254.101562	-68.105804
5297.167969	-73.466515
5340.234375	-73.934837
5383.300781	-70.809067
5426.367188	-69.415215
5469.433594	-68.531921
5512.500000	-62.698578
5555.566406	-47.906349
5598.632812	-42.196369
5641.699219	-46.128365
5684.765625	-60.196651
5727.832031	-69.647064
5770.898438	-72.082466
5813.964844	-74.508293
5857.031250	-75.175270
5900.097656	-72.786194
5943.164062	-69.015160
5986.230469	-62.328873
6029.296875	-47.375076
6072.363281	-42.711102
6115.429688	-48.332737
6158.496094	-64.873703
6201.562500	-70.408676
6244.628906	-74.040222
6287.695312	-74.814957
6330.761719	-73.714569
6373.828125	-73.552361
6416.894531	-70.998947
6459.960938	-62.559372
6503.027344	-47.940029
6546.093750	-44.086304
6589.160156	-50.212082
6632.226562	-66.398491
6675.292969	-70.298233
6718.359375	-73.633850
6761.425781	-73.401970
6804.492188	-74.263832
6847.558594	-75.672783
6890.625000	-73.009102
6933.691406	-63.307301
6976.757812	-51.456707
7019.824219	-49.953510
7062.890625	-58.525478
7105.957031	-70.288818
7149.023438	-74.224541
7192.089844	-79.516983
7235.156250	-81.424263
7278.222656	-80.591080
7321.289062	-80.956032
7364.355469	-77.244156
7407.421875	-69.907097
7450.488281	-61.630512
7493.554688	-59.787239
7536.621094	-66.062622
7579.687500	-75.564163
7622.753906	-78.161034
7665.820312	-81.057899
7708.886719	-81.554298
7751.953125	-83.448822
7795.019531	-81.844604
7838.085938	-78.476143
7881.152344	-66.583244
7924.218750	-59.368725
7967.285156	-61.441586
8010.351562	-72.538315
8053.417969	-80.850525
8096.484375	-83.898064
8139.550781	-83.741127
8182.617188	-81.402878
8225.683594	-79.717819
8268.750000	-78.156982
8311.816406	-75.490776
8354.882812	-67.219826
8397.949219	-61.247086
8441.015625	-63.516376
8484.082031	-72.874344
8527.148438	-75.242439
8570.214844	-75.506783
8613.281250	-76.900284
8656.347656	-79.294518
8699.414062	-80.778008
8742.480469	-81.844040
8785.546875	-78.085556
8828.613281	-66.717506
8871.679688	-61.909218
8914.746094	-65.426178
8957.812500	-74.461403
9000.878906	-78.310341
9043.945312	-79.547478
9087.011719	-81.489464
9130.078125	-82.279556
9173.144531	-82.716934
9216.210938	-80.222198
9259.277344	-77.235207
9302.343750	-66.667107
9345.410156	-62.392727
9388.476562	-66.902359
9431.542969	-75.920258
9474.609375	-77.953278
9517.675781	-79.143791
9560.742188	-78.985558
9603.808594	-81.089066
9646.875000	-84.309151
9689.941406	-86.201324
9733.007812	-76.879402
9776.074219	-69.039909
9819.140625	-69.274033
9862.207031	-75.648315
9905.273438	-82.203400
9948.339844	-85.326874
9991.406250	-85.015457
10034.472656	-83.576851
10077.539062	-85.021278
10120.605469	-83.991241
10163.671875	-83.040268
10206.738281	-76.530655
10249.804688	-70.145004
10292.871094	-69.325508
10335.937500	-74.809120
10379.003906	-81.703789
10422.070312	-84.077675
10465.136719	-83.912582
10508.203125	-82.051010
10551.269531	-82.065735
10594.335938	-82.886673
10637.402344	-81.947212
10680.468750	-76.768837
10723.535156	-72.651550
10766.601562	-72.393745
10809.667969	-78.469673
10852.734375	-84.631050
10895.800781	-84.580254
10938.867188	-85.672676
10981.933594	-84.525970
11025.000000	-84.193489
11068.066406	-82.479828
11111.132812	-82.814148
11154.199219	-79.333382
11197.265625	-74.104347
11240.332031	-75.637009
11283.398438	-81.005074
11326.464844	-83.922043
11369.531250	-84.445724
11412.597656	-84.718605
11455.664062	-86.664886
11498.730469	-86.943596
11541.796875	-87.607941
11584.863281	-84.388985
11627.929688	-76.896309
11670.996094	-72.217102
11714.062500	-74.953217
11757.128906	-82.988045
11800.195312	-87.735474
11843.261719	-89.911514
11886.328125	-90.304352
11929.394531	-89.534164
11972.460938	-87.494629
12015.527344	-86.357903
12058.593750	-84.667038
12101.660156	-77.502846
12144.726562	-73.501022
12187.792969	-76.066917
12230.859375	-81.412308
12273.925781	-84.364090
12316.992188	-85.553520
12360.058594	-85.866234
12403.125000	-86.426994
12446.191406	-86.422623
12489.257812	-85.229813
12532.324219	-82.643806
12575.390625	-78.150566
12618.457031	-75.975372
12661.523438	-79.284966
12704.589844	-84.811005
12747.656250	-88.738098
12790.722656	-90.320419
12833.789062	-91.418442
12876.855469	-89.956650
12919.921875	-86.010925
12962.988281	-82.867744
13006.054688	-80.214523
13049.121094	-77.249062
13092.187500	-76.777557
13135.253906	-80.072945
13178.320312	-85.367928
13221.386719	-90.516769
13264.453125	-89.565224
13307.519531	-91.133362
13350.585938	-92.621819
13393.652344	-90.379646
13436.718750	-89.377281
13479.785156	-81.445381
13522.851562	-78.341576
13565.917969	-81.846382
13608.984375	-88.183914
13652.050781	-92.575714
13695.117188	-93.791138
13738.183594	-94.676674
13781.250000	-94.092842
13824.316406	-94.793640
13867.382812	-92.226540
13910.449219	-89.145081
13953.515625	-85.589699
13996.582031	-82.210365
14039.648438	-82.208786
14082.714844	-84.775597
14125.781250	-89.231026
14168.847656	-90.686951
14211.914062	-89.213463
14254.980469	-89.227036
14298.046875	-88.553238
14341.113281	-86.543869
14384.179688	-83.977448
14427.246094	-76.058472
14470.312500	-73.546455
14513.378906	-78.906509
14556.445312	-86.955276
14599.511719	-91.331291
14642.578125	-92.675354
14685.644531	-93.769760
14728.710938	-92.245216
14771.777344	-91.056343
14814.843750	-87.757416
14857.910156	-81.354149
14900.976562	-72.739334
14944.042969	-72.071526
14987.109375	-78.265877
15030.175781	-81.604950
15073.242188	-85.220650
15116.308594	-86.440132
15159.375000	-89.250679
15202.441406	-91.687691
15245.507812	-91.289429
15288.574219	-93.582726
15331.640625	-85.008102
15374.707031	-76.440735
15417.773438	-77.061455
15460.839844	-86.121780
15503.906250	-91.297211
15546.972656	-97.036148
15590.039062	-97.320450
15633.105469	-102.951706
15676.171875	-114.312454
15719.238281	-123.355385
15762.304688	-127.390327
15805.371094	-130.858093
15848.437500	-132.856827
15891.503906	-135.345657
15934.570312	-136.520645
15977.636719	-137.582382
16020.703125	-126.223907
16063.769531	-121.124893
16106.835938	-122.311424
16149.902344	-132.047913
16192.968750	-147.719742
16236.035156	-154.970062
16279.101562	-159.331436
16322.167969	-160.226776
16365.234375	-160.494553
16408.300781	-154.158356
16451.367188	-139.704422
16494.433594	-128.199677
16537.500000	-127.979668
16580.566406	-133.238068
16623.632812	-142.604843
16666.699219	-155.021301
16709.765625	-159.826019
16752.832031	-159.214676
16795.898438	-160.441666
16838.964844	-158.623535
16882.031250	-148.120529
16925.097656	-132.230835
16968.164062	-125.715652
17011.230469	-127.687714
17054.296875	-134.642883
17097.363281	-147.275131
17140.429688	-156.451797
17183.496094	-161.279526
17226.562500	-163.337128
17269.628906	-163.576492
17312.695312	-154.193985
17355.761719	-144.283005
17398.828125	-130.595734
17441.894531	-122.837791
17484.960938	-122.513481
17528.027344	-132.032242
17571.093750	-148.734360
17614.160156	-157.728012
17657.226562	-162.907349
17700.292969	-164.918182
17743.359375	-164.003036
17786.425781	-154.760956
17829.492188	-144.182648
17872.558594	-137.042801
17915.625000	-128.456955
17958.691406	-127.919052
18001.757812	-139.561096
18044.824219	-154.288330
18087.890625	-162.371277
18130.957031	-164.018906
18174.023438	-164.085693
18217.089844	-159.485245
18260.156250	-150.287537
18303.222656	-132.267120
18346.289062	-122.252258
18389.355469	-124.310059
18432.421875	-136.097702
18475.488281	-147.593460
18518.554688	-156.879257
18561.621094	-162.701736
18604.687500	-163.845993
18647.753906	-163.010101
18690.820312	-157.366104
18733.886719	-146.196808
18776.953125	-129.838089
18820.019531	-123.396675
18863.085938	-125.253479
18906.152344	-135.216110
18949.218750	-150.262711
18992.285156	-159.576508
19035.351562	-164.895920
19078.417969	-165.704254
19121.484375	-161.718658
19164.550781	-155.481949
19207.617188	-142.248688
19250.683594	-132.343002
19293.750000	-131.419937
19336.816406	-131.218323
19379.882812	-136.344650
19422.949219	-155.169250
19466.015625	-161.038925
19509.082031	-159.608200
19552.148438	-161.863281
19595.214844	-160.206284
19638.281250	-152.101898
19681.347656	-140.409729
19724.414062	-128.403870
19767.480469	-125.562622
19810.546875	-133.430878
19853.613281	-149.969437
19896.679688	-159.491989
19939.746094	-162.383392
19982.812500	-164.123245
20025.878906	-162.734665
20068.945312	-156.831421
20112.011719	-141.648087
20155.078125	-127.538422
20198.144531	-123.273224
20241.210938	-123.411438
20284.277344	-133.146881
20327.343750	-150.979919
20370.410156	-158.512558
20413.476562	-162.202606
20456.542969	-163.290405
20499.609375	-163.490921
20542.675781	-154.661026
20585.742188	-140.044907
20628.808594	-128.212128
20671.875000	-126.960518
20714.941406	-129.640442
20758.007812	-138.729797
20801.074219	-153.748840
20844.140625	-162.830658
20887.207031	-166.106949
20930.273438	-165.874191
20973.339844	-160.036926
21016.406250	-149.563278
21059.472656	-141.151718
21102.539062	-132.268234
21145.605469	-130.141861
21188.671875	-132.824722
21231.738281	-146.650040
21274.804688	-158.703537
21317.871094	-162.932846
21360.937500	-163.838348
21404.003906	-163.437500
21447.070312	-158.559387
21490.136719	-144.434509
21533.203125	-133.169846
21576.269531	-126.821747
21619.335938	-129.235428
21662.402344	-140.816376
21705.468750	-149.371887
21748.535156	-155.736984
21791.601562	-162.599762
21834.667969	-163.005386
21877.734375	-161.968475
21920.800781	-151.887802
21963.867188	-137.204010
22006.933594	-126.424332
